codbar,price,min_price,max_price,nombre,laboratorio,iva,stock,vendor_id,pos_id,client_id,catalog_name
1210001175020,1270.92,,,LIPITOR 30 TABS 20 MG,,,yes,1156,721,109055,MAE0020_BJX
1210001175037,1497.83,,,LIPITOR 30 TABS 40 MG,,,yes,1156,721,109055,MAE0020_BJX
1210001175051,1997.89,,,EFEXOR XR DUO PACK 20 CAP 75 MG,,,yes,1156,721,109055,MAE0020_BJX
13117019926,118.06,,,PAN CHICOLASTIC BB TIPS T 1 40,,,yes,1156,721,109055,MAE0020_BJX
13117019971,199.84,,,PAN CHICOLASTIC BB TIPS T 6 40,,,yes,1156,721,109055,MAE0020_BJX
197886000085,104.97,,,ACETIF INY 1 AMP 100ML/1000MG,,,yes,1156,721,109055,MAE0020_BJX
20800307642,53.22,,,DESOD O SPICE BAR ANT FRESH 60,,,yes,1156,721,109055,MAE0020_BJX
20800790222,309.33,,,METAMUCIL NAT 210GR,,,yes,1156,721,109055,MAE0020_BJX
20800790246,647.9,,,METAMUCIL NAT 504GR,,,yes,1156,721,109055,MAE0020_BJX
300090010072,806.54,,,HALCION 30 TABS 0.125MG   *G2*,,,yes,1156,721,109055,MAE0020_BJX
300090017125,1306.72,,,HALCION 30 TABS 0.25MG    *G2*,,,yes,1156,721,109055,MAE0020_BJX
300090050139,304.64,,,PROVERA 10 TABS 10MG,,,yes,1156,721,109055,MAE0020_BJX
300090055097,500.48,,,TAFIL 30 TABS 0.50MG      *G2*,,,yes,1156,721,109055,MAE0020_BJX
300090090333,1684.75,,,TAFIL 90 TABS 1MG         *G2*,,,yes,1156,721,109055,MAE0020_BJX
300090275051,553.02,,,DEPO PROVERA SOL INY 1ML 150ML,,,yes,1156,721,109055,MAE0020_BJX
300090286200,389.01,,,PROVERA 24 TABS 5MG,,,yes,1156,721,109055,MAE0020_BJX
300090300609,489.59,,,TAFIL GOTAS 0.75MG/20ML   *G2*,,,yes,1156,721,109055,MAE0020_BJX
300090473013,554.76,,,CYTOSAR U SOL INY 500MG      E,,,yes,1156,721,109055,MAE0020_BJX
300090555412,585.18,,,LINCOCIN PED INY 6 JERI 300M*A,,,yes,1156,721,109055,MAE0020_BJX
300090556365,761.21,,,LINCOCIN INY 6 JERI 600MG 2M*A,,,yes,1156,721,109055,MAE0020_BJX
300090775018,319.04,,,"DALACIN \C\"" SOL.INY. 600MG 4*A""",,,yes,1156,721,109055,MAE0020_BJX
300090870010,223.54,,,"DALACIN \C\"" SOL.INY. 300MG 2*A""",,,yes,1156,721,109055,MAE0020_BJX
300093331020,348.66,,,"DALACIN \T\"" GEL TUBO 30MG""",,,yes,1156,721,109055,MAE0020_BJX
300650454179,572.19,,,SYSTANE GEL GOTAS 10ML,,,yes,1156,721,109055,MAE0020_BJX
300650481779,553.37,,,SYSTANE COMPLETE GOTAS 10ML,,,yes,1156,721,109055,MAE0020_BJX
300651433272,543.65,,,SYSTANE BALANCE GOTERO 10ML,,,yes,1156,721,109055,MAE0020_BJX
300651509625,586.57,,,SYSTANE COMPLETE SP 10 ML,,,yes,1156,721,109055,MAE0020_BJX
300651510577,565.8,,,SYSTANE HIDRATACION SP 10 ML,,,yes,1156,721,109055,MAE0020_BJX
300653610800,95.44,,,OPTI FREE PUREMOIST 120ML,,,yes,1156,721,109055,MAE0020_BJX
300653610824,139.65,,,OPTI FREE  PUREMOIST 300ML,,,yes,1156,721,109055,MAE0020_BJX
300658052421,375.5,,,TOALLITAS SYSTANE C/30,,,yes,1156,721,109055,MAE0020_BJX
3014260014414,24.48,,,CEP DEN ORAL-B LIMP COMPL 1PZ,,,yes,1156,721,109055,MAE0020_BJX
3014260279165,41.95,,,PAS DENT ORAL B CARS/PRINT75ML,,,yes,1156,721,109055,MAE0020_BJX
310119021996,95.8,,,MOISTURE EYES SOL 15ML,,,yes,1156,721,109055,MAE0020_BJX
310119033227,112.44,,,RENU PLUS SOL 120ML,,,yes,1156,721,109055,MAE0020_BJX
310119033289,222.0,,,RENU PLUS SOL 500ML,,,yes,1156,721,109055,MAE0020_BJX
310119033340,187.26,,,RENU PLUS SOL 355ML,,,yes,1156,721,109055,MAE0020_BJX
310119034347,81.55,,,RENU PLUS SOL 60ML,,,yes,1156,721,109055,MAE0020_BJX
310119043202,88.43,,,RENU ADVANCED KIT DE VIAJE 60 ML,,,yes,1156,721,109055,MAE0020_BJX
310119043226,198.29,,,RENU ADVANCED 355 ML,,,yes,1156,721,109055,MAE0020_BJX
310119056158,158.58,,,SIMPLUS SOL 105ML,,,yes,1156,721,109055,MAE0020_BJX
310158081111,55.06,,,SENSODYNE MENTA 113G,,,yes,1156,721,109055,MAE0020_BJX
312547321808,49.48,,,LISTERINE ANTIS BU C.MINT250ML,,,yes,1156,721,109055,MAE0020_BJX
312547321815,83.97,,,LISTERINE ANTIS BU C MINT500ML,,,yes,1156,721,109055,MAE0020_BJX
324208353059,311.82,,,LOTEREX SOL 0.2%,,,yes,1156,721,109055,MAE0020_BJX
3401053831356,138.49,,,AFRIN PURE SEA KIDS 50ML,,,yes,1156,721,109055,MAE0020_BJX
3466320012838,308.26,,,CETAPHIL CREMA HUMEC 453GR,,,yes,1156,721,109055,MAE0020_BJX
3499320001168,586.79,,,METROGEL GEL 0.75% 30G,,,yes,1156,721,109055,MAE0020_BJX
3499320001205,406.44,,,DESOWEN CREMA 0.05% 30GR,,,yes,1156,721,109055,MAE0020_BJX
