vendor_id,super_catalog_id,descripción,name,base_price,percentage
1150,7502299970710,Q-10 COENZIMA 30 CAPS/500MG FACIAL,México,57.1435,-0.05
1150,7502299970765,COLAGENO 30 CAPS/ 500 MG FACIAL,México,61.584,-0.05
1150,7502223110014,QUIMPAPHIL 10 AMP 5 ML,México,379.2,-0.05
1150,7503002772768,MARACINA 1 SOL 360 ML .15G/360 ML,México,210.0,-0.05
1150,7503004908660,BENZONATATO 20 PERL 100 MG,México,31.5684,-0.05
1150,7502259892359,LACTIV GB 30 CAP 750 MG C/U,México,189.0,-0.05
1150,7502274791842,KAFRASOL 10 TAB 10MG,México,78.0,-0.05
1150,7503000422405,ALTIVER 30 TAB 25 MG,México,9.1464,-0.05
1150,7502259892403,CITRATO DE MAGNESIO 30 CAP 1.82G C/U,México,44.6664,-0.05
1150,7501258213592,BENCOPRIM 100 TAB 10 MG,México,96.1038,-0.05
1150,7502227871409,CYSLEV 60 TAB 75 MG,México,29.762,-0.05
1150,7502216804722,CINITAPRIDA 25 COMP 1MG,México,29.2596,-0.05
1150,7502009749322,CONIAX 10 COMP 500 MG,México,115.9617,-0.05
1150,7506021101557,COLAGEMAX 60 CAP 500 MG,México,138.6057,-0.05
1150,7502009747939,FRESH LOVE COCO 1 SPRAY 60 ML,México,25.7712,-0.05
1150,7502009748233,AGUA DE PEPINO Y CAFE 1 PZA 60 ML,México,20.9804,-0.05
1150,780083140274,ZOLIDIME 20 GRAG 200/100/0.5 MG,México,241.47,-0.05
1150,7502211788423,INDOMETACINA 6 SUPOSITORIOS 100 MG,México,355.31,-0.05
1150,7502259892298,LACTIV FIT 15 CAP 445 MG C/U,México,345.0,-0.05
1150,7501358130379,SIMPLEX PRO  1 CAJA 60 TAB,México,292.6,-0.05
1150,7501349024328,KETOROLACO SL 4 TAB 30 MG,México,110.0,-0.05
1150,7502009740664,LOROTEC-F SUBLI 4 TAB 30 MG,México,108.0,-0.05
1150,780083141981,LOVARIN 10 TAB 10 MG,México,8.9505,-0.05
1150,7501547524071,VERMINDAZOL 6 TAB 100 MG,México,96.0,-0.05
1150,7502001166981,LAUR ADULTO 500/500/100/30/4 MG 3 AMP,México,400.0,-0.05
1150,7502226293929,METFORMINA LP 30 TAB 500 MG,México,515.0,-0.05
1150,7502227871676,CONYSMIN 20 TAB 10 MG,México,7.4146,-0.05
1150,7501349020320,NAPROXENO 30 TAB 250 MG,México,88.0,-0.05
1150,7503008344907,GEADITE 9 MESES 30 CAPS 300/150 MG,México,207.33,-0.05
